age,Medu,Fedu,traveltime,self_study_hours,backlog_count,famrel,freetime,goout,Dalc,Walc,health,internal_marks_1,internal_marks_2,final_score,attendance_percentage
18,4,4,2,2,0,4,3,4,1,1,3,5,6,6,88
17,1,1,1,2,0,5,3,3,1,1,3,5,5,6,92
15,1,1,1,2,3,4,3,2,2,3,3,7,8,10,80
15,4,2,1,3,0,3,2,2,1,1,5,15,14,15,96
16,3,3,1,2,0,4,3,2,1,2,5,6,10,10,92
16,4,3,1,2,0,5,4,2,1,2,5,15,15,15,80
16,2,2,1,2,0,4,4,4,1,1,3,12,12,11,100
17,4,4,2,2,0,4,1,4,1,1,1,6,5,6,88
15,3,2,1,2,0,4,2,2,1,1,1,16,18,19,100
15,3,4,1,2,0,5,5,1,1,1,5,14,15,15,100
15,4,4,1,2,0,3,3,3,1,2,2,10,8,9,100
15,2,1,3,3,0,5,2,2,1,1,4,10,12,12,92
15,4,4,1,1,0,4,3,3,1,3,5,14,14,14,96
15,4,3,2,2,0,5,4,3,1,2,3,10,10,11,96
15,2,2,1,3,0,4,5,2,1,1,3,14,16,16,100
16,4,4,1,1,0,4,4,4,1,2,2,14,14,14,92
16,4,4,1,3,0,3,2,3,1,2,2,13,14,14,88
16,3,3,3,2,0,5,3,2,1,1,4,8,10,10,92
17,3,2,1,1,3,5,5,5,2,4,5,6,5,5,68
16,4,3,1,1,0,3,1,3,1,3,5,8,10,10,92
15,4,3,1,2,0,4,4,1,1,1,1,13,14,15,100
15,4,4,1,1,0,5,4,2,1,1,5,12,15,15,100
16,4,2,1,2,0,4,5,1,1,3,5,15,15,16,96
16,2,2,2,2,0,5,4,4,2,4,5,13,13,12,100
15,2,4,1,3,0,4,3,2,1,1,5,10,9,8,96
16,2,2,1,1,2,1,2,2,1,3,5,6,9,8,72
15,2,2,1,1,0,4,2,2,1,2,5,12,12,11,96
15,4,2,1,1,0,2,2,4,2,4,1,15,16,15,92
16,3,4,1,2,0,5,3,3,1,1,5,11,11,11,92
16,4,4,1,2,0,4,4,5,5,5,5,10,12,11,68
15,4,4,1,2,0,5,4,2,3,4,5,9,11,12,100
15,4,4,2,2,0,4,3,1,1,1,5,17,16,17,100
15,4,3,1,2,0,4,5,2,1,1,5,17,16,16,100
15,3,3,1,2,0,5,3,2,1,1,2,8,10,12,100
16,3,2,1,1,0,5,4,3,1,1,5,12,14,15,100
15,2,3,2,1,0,3,5,1,1,1,5,8,7,6,100
15,4,3,1,3,0,5,4,3,1,1,4,15,16,18,96
16,4,4,2,3,0,2,4,3,1,1,5,15,16,15,86
15,3,4,1,3,0,4,3,2,1,1,5,12,12,11,96
15,2,2,1,1,0,4,3,1,1,1,2,14,13,13,84
16,2,2,2,2,1,3,3,3,1,2,3,7,10,11,50
15,4,4,1,1,0,5,4,3,2,4,5,12,12,12,84
15,4,4,1,2,0,4,3,3,1,1,5,19,18,18,96
15,2,2,1,1,0,5,4,1,1,1,1,8,8,11,100
16,2,2,2,2,1,4,3,3,2,2,5,10,10,9,72
15,4,3,1,2,0,5,2,2,1,1,5,8,8,6,84
16,3,3,1,2,0,2,3,5,1,4,3,11,12,11,76
16,4,3,1,4,0,4,2,2,1,1,2,19,19,20,92
15,4,2,1,2,0,4,3,3,2,2,5,15,15,14,96
15,4,4,1,2,1,4,4,4,1,1,3,7,7,7,96
16,2,2,3,2,0,4,3,3,2,3,4,12,13,13,96
15,4,2,1,2,0,4,3,3,1,1,5,11,13,13,96
15,4,2,2,1,1,5,5,5,3,4,5,11,11,10,88
15,4,4,1,1,0,3,3,4,2,3,5,8,10,11,100
15,3,3,1,1,0,5,3,4,4,4,1,10,13,13,88
16,2,1,1,2,0,5,3,4,1,1,2,8,9,10,84
15,4,3,1,2,0,4,3,2,1,1,1,14,15,15,100
15,4,4,1,2,0,3,2,2,1,1,5,14,15,15,92
15,1,2,1,2,0,4,3,2,1,1,5,9,10,9,96
16,4,2,1,2,0,4,2,3,1,1,5,15,16,16,96
16,4,4,1,2,0,2,4,4,2,3,4,10,11,11,88
16,1,1,4,1,0,5,5,5,5,5,5,10,8,11,88
16,1,2,1,2,0,4,4,3,1,1,1,8,10,9,92
16,4,3,1,3,0,3,4,4,2,4,4,10,9,9,96
15,4,3,1,2,0,4,4,4,2,4,2,10,10,10,100
16,4,3,3,2,0,5,4,3,1,2,1,16,15,15,96
15,4,4,1,4,0,1,3,3,5,5,3,13,13,12,92
16,3,1,1,4,0,4,3,3,1,2,5,7,7,6,92
15,2,2,2,2,0,4,1,3,1,3,4,8,9,8,96
15,3,1,2,4,0,4,4,2,2,3,3,16,16,16,76
16,3,1,2,4,0,4,3,2,1,1,5,13,15,15,100
15,4,2,1,4,0,3,3,3,1,1,3,10,10,10,100
15,1,1,1,2,2,3,3,4,2,4,5,8,6,5,96
16,3,1,1,1,0,5,3,2,2,2,5,12,12,14,96
16,3,3,1,2,0,4,3,3,2,4,5,11,12,11,0
15,4,3,1,2,0,4,3,3,2,3,5,9,9,10,88
15,4,0,2,4,0,3,4,3,1,1,1,11,11,10,84
16,2,2,1,4,0,5,2,3,1,3,3,11,11,11,100
17,2,1,2,1,3,4,5,1,1,1,3,8,8,10,96
16,3,4,1,2,0,2,4,3,1,2,3,5,5,5,76
15,2,3,1,1,0,3,2,2,1,3,3,10,12,12,96
15,2,3,1,3,0,5,3,2,1,2,5,11,10,11,92
15,3,2,1,2,0,4,4,4,1,1,5,7,6,6,80
15,2,2,2,2,0,5,3,3,1,3,4,15,15,15,92
15,1,1,1,2,0,4,3,2,2,3,4,9,10,10,96
15,4,4,2,2,2,4,4,4,2,3,5,7,9,8,88
16,2,2,1,2,0,4,3,4,1,2,2,8,7,6,92
15,4,2,1,3,0,5,3,3,1,3,1,13,14,14,92
16,2,2,2,2,1,4,4,2,1,1,3,11,10,10,76
16,4,4,1,2,0,4,1,3,3,5,5,8,6,7,64
16,3,3,1,3,0,4,3,3,1,3,4,7,7,8,100
15,4,3,1,1,0,4,5,5,1,3,1,16,17,18,92
16,3,1,1,2,0,3,3,3,2,3,2,7,6,6,92
16,4,2,2,2,0,5,3,3,1,1,1,11,10,10,100
15,2,2,1,4,0,4,3,4,1,1,4,11,13,14,88
15,1,1,2,4,1,3,1,2,1,1,1,7,10,10,96
16,4,3,2,1,0,3,3,3,1,1,4,11,15,15,96
16,2,1,1,2,0,4,3,5,1,1,5,8,9,10,96
16,4,4,1,1,0,5,3,4,1,2,1,11,14,14,88
16,4,3,1,3,0,5,3,5,1,1,3,7,9,8,100
16,4,4,1,1,0,4,5,5,5,5,4,7,7,5,72
16,4,4,1,3,0,4,4,3,1,1,4,16,17,17,100
15,4,4,1,1,0,5,3,3,1,1,5,10,13,14,92
15,3,2,2,2,0,4,3,5,1,1,2,7,6,6,48
15,3,4,1,2,0,5,4,4,1,1,1,16,18,18,100
15,3,3,1,4,0,4,3,3,1,1,4,10,11,11,80
15,2,2,1,4,0,5,1,2,1,1,3,7,8,8,84
16,3,3,1,3,0,5,3,3,1,1,5,16,18,18,96
15,4,4,4,4,0,1,3,5,3,5,1,10,13,13,88
16,4,4,1,3,0,5,4,5,1,1,4,14,15,16,92
15,4,4,1,1,0,5,5,3,1,1,4,18,19,19,88
16,3,3,1,3,1,4,1,2,1,1,2,7,10,10,100
16,2,2,1,2,1,3,1,2,1,1,5,10,13,13,88
15,4,2,1,1,0,3,5,2,1,1,3,18,19,19,80
15,2,1,1,2,0,5,4,2,1,1,5,9,9,9,84
16,4,4,1,2,0,5,4,4,1,2,5,15,15,16,96
15,4,4,2,2,0,4,4,3,1,1,2,11,13,14,96
16,3,3,2,1,0,5,4,2,1,1,5,13,14,13,100
17,1,3,3,2,1,5,2,4,1,4,5,9,7,8,60
15,3,4,1,1,0,3,4,3,1,2,4,14,13,13,88
15,1,2,1,2,0,3,2,3,1,2,1,16,15,15,96
15,2,2,1,4,0,5,5,4,1,2,5,16,14,15,88
16,2,4,2,2,0,4,2,2,1,2,5,13,13,13,96
16,4,4,1,1,0,3,4,4,1,4,5,14,11,13,64
16,2,2,1,2,0,5,4,4,1,1,5,8,7,8,100
15,3,4,1,1,0,5,5,5,3,2,5,13,13,12,100
15,3,4,1,2,0,5,3,2,1,1,1,7,10,11,100
19,0,1,1,2,3,3,4,2,1,1,5,7,8,9,96
18,2,2,1,1,2,3,3,3,1,2,4,7,4,0,100
16,4,4,1,1,0,3,5,5,2,5,4,18,18,18,84
15,3,4,2,3,2,4,2,2,2,2,5,12,0,0,100
15,1,1,3,1,0,4,3,3,1,2,4,8,0,0,100
17,2,2,1,1,0,3,4,4,1,3,5,10,13,12,76
16,3,4,1,1,0,3,2,1,1,4,5,12,11,11,68
15,3,4,4,2,0,5,3,3,1,1,5,9,0,0,100
15,4,4,1,3,0,4,3,3,1,1,5,11,0,0,100
17,3,4,3,2,0,5,4,5,2,4,5,10,0,0,100
16,3,3,2,1,2,4,3,2,1,1,5,4,0,0,100
